source_group_id,source_group_title,source_action_id,source_action_name,target_group_id,target_group_title,target_action_id,target_action_name,type
delivery_stage_planning_execution,Delivery Stage - Planning & Execution,delivery_stage_planning_execution__backlog_prioritization_team_level,Backlog prioritization (team-level),delivery_stage_planning_execution,Delivery Stage - Planning & Execution,delivery_stage_planning_execution__sprint_iteration_planning,Sprint/iteration planning,depends_on
delivery_stage_planning_execution,Delivery Stage - Planning & Execution,delivery_stage_planning_execution__backlog_refinement,Backlog refinement,delivery_stage_planning_execution,Delivery Stage - Planning & Execution,delivery_stage_planning_execution__sprint_iteration_planning,Sprint/iteration planning,depends_on
delivery_stage_planning_execution,Delivery Stage - Planning & Execution,delivery_stage_planning_execution__cross_team_priority_conflicts,Cross-team priority conflicts,delivery_stage_planning_execution,Delivery Stage - Planning & Execution,delivery_stage_planning_execution__backlog_prioritization_team_level,Backlog prioritization (team-level),depends_on
delivery_stage_planning_execution,Delivery Stage - Planning & Execution,delivery_stage_planning_execution__cross_team_priority_conflicts,Cross-team priority conflicts,discovery_stage,Discovery Stage,discovery_stage__manage_discovery_timeline_prevent_scope_creep,Manage discovery timeline/prevent scope creep,depends_on
delivery_stage_planning_execution,Delivery Stage - Planning & Execution,delivery_stage_planning_execution__daily_standups,Daily standups,delivery_stage_planning_execution,Delivery Stage - Planning & Execution,delivery_stage_planning_execution__sprint_execution,Sprint execution,depends_on
delivery_stage_planning_execution,Delivery Stage - Planning & Execution,delivery_stage_planning_execution__drive_team_process_improvement,Drive team process improvement,delivery_stage_planning_execution,Delivery Stage - Planning & Execution,delivery_stage_planning_execution__facilitate_team_retrospectives,Facilitate team retrospectives,depends_on
delivery_stage_planning_execution,Delivery Stage - Planning & Execution,delivery_stage_planning_execution__facilitate_feature_retrospectives,Facilitate feature retrospectives,delivery_stage_planning_execution,Delivery Stage - Planning & Execution,delivery_stage_planning_execution__facilitate_sprint_reviews,Facilitate sprint reviews,depends_on
delivery_stage_planning_execution,Delivery Stage - Planning & Execution,delivery_stage_planning_execution__facilitate_sprint_reviews,Facilitate sprint reviews,delivery_stage_planning_execution,Delivery Stage - Planning & Execution,delivery_stage_planning_execution__sprint_execution,Sprint execution,depends_on
delivery_stage_planning_execution,Delivery Stage - Planning & Execution,delivery_stage_planning_execution__facilitate_team_retrospectives,Facilitate team retrospectives,delivery_stage_planning_execution,Delivery Stage - Planning & Execution,delivery_stage_planning_execution__sprint_execution,Sprint execution,depends_on
delivery_stage_planning_execution,Delivery Stage - Planning & Execution,delivery_stage_planning_execution__remove_blockers_cross_team_infrastructure_pre,Remove blockers (cross-team/infrastructure/PRE),delivery_stage_planning_execution,Delivery Stage - Planning & Execution,delivery_stage_planning_execution__cross_team_priority_conflicts,Cross-team priority conflicts,depends_on
delivery_stage_planning_execution,Delivery Stage - Planning & Execution,delivery_stage_planning_execution__remove_blockers_cross_team_infrastructure_pre,Remove blockers (cross-team/infrastructure/PRE),delivery_stage_planning_execution,Delivery Stage - Planning & Execution,delivery_stage_planning_execution__remove_blockers_team_level,Remove blockers (team-level),depends_on
delivery_stage_planning_execution,Delivery Stage - Planning & Execution,delivery_stage_planning_execution__remove_blockers_team_level,Remove blockers (team-level),delivery_stage_planning_execution,Delivery Stage - Planning & Execution,delivery_stage_planning_execution__daily_standups,Daily standups,depends_on
delivery_stage_planning_execution,Delivery Stage - Planning & Execution,delivery_stage_planning_execution__sprint_execution,Sprint execution,delivery_stage_planning_execution,Delivery Stage - Planning & Execution,delivery_stage_planning_execution__sprint_iteration_planning,Sprint/iteration planning,depends_on
delivery_stage_planning_execution,Delivery Stage - Planning & Execution,delivery_stage_planning_execution__sprint_execution,Sprint execution,delivery_stage_planning_execution,Delivery Stage - Planning & Execution,delivery_stage_planning_execution__tasks_sizing_and_estimation,Tasks sizing and estimation,depends_on
delivery_stage_planning_execution,Delivery Stage - Planning & Execution,delivery_stage_planning_execution__sprint_iteration_planning,Sprint/iteration planning,delivery_stage_planning_execution,Delivery Stage - Planning & Execution,delivery_stage_planning_execution__backlog_refinement,Backlog refinement,depends_on
delivery_stage_planning_execution,Delivery Stage - Planning & Execution,delivery_stage_planning_execution__sprint_iteration_planning,Sprint/iteration planning,delivery_stage_planning_execution,Delivery Stage - Planning & Execution,delivery_stage_planning_execution__tasks_sizing_and_estimation,Tasks sizing and estimation,depends_on
delivery_stage_planning_execution,Delivery Stage - Planning & Execution,delivery_stage_planning_execution__sprint_iteration_planning,Sprint/iteration planning,discovery_stage,Discovery Stage,discovery_stage__validate_requirements_are_implementation_ready,Validate requirements are implementation-ready,depends_on
delivery_stage_planning_execution,Delivery Stage - Planning & Execution,delivery_stage_planning_execution__sprint_iteration_planning,Sprint/iteration planning,sdlc_process_management,SDLC & Process Management,sdlc_process_management__implement_team_specific_processes,Implement team-specific processes,depends_on
delivery_stage_planning_execution,Delivery Stage - Planning & Execution,delivery_stage_planning_execution__tasks_sizing_and_estimation,Tasks sizing and estimation,discovery_stage,Discovery Stage,discovery_stage__validate_requirements_are_implementation_ready,Validate requirements are implementation-ready,depends_on
discovery_stage,Discovery Stage,discovery_stage__define_discovery_framework,Define discovery framework,sdlc_process_management,SDLC & Process Management,sdlc_process_management__define_and_maintain_sdlc_framework,Define and maintain SDLC framework,depends_on
discovery_stage,Discovery Stage,discovery_stage__identify_technical_risks_constraints,Identify technical risks/constraints,discovery_stage,Discovery Stage,discovery_stage__run_complex_cross_team_discovery,Run complex/cross-team discovery,depends_on
discovery_stage,Discovery Stage,discovery_stage__manage_discovery_timeline_prevent_scope_creep,Manage discovery timeline/prevent scope creep,discovery_stage,Discovery Stage,discovery_stage__define_discovery_framework,Define discovery framework,depends_on
discovery_stage,Discovery Stage,discovery_stage__prepare_implementation_ready_requirements,Prepare implementation-ready requirements,discovery_stage,Discovery Stage,discovery_stage__identify_technical_risks_constraints,Identify technical risks/constraints,depends_on
discovery_stage,Discovery Stage,discovery_stage__prepare_implementation_ready_requirements,Prepare implementation-ready requirements,discovery_stage,Discovery Stage,discovery_stage__run_simple_feature_discovery_sessions,Run simple feature discovery sessions,depends_on
discovery_stage,Discovery Stage,discovery_stage__prepare_implementation_ready_requirements,Prepare implementation-ready requirements,discovery_stage,Discovery Stage,discovery_stage__validate_business_value,Validate business value,depends_on
discovery_stage,Discovery Stage,discovery_stage__run_complex_cross_team_discovery,Run complex/cross-team discovery,discovery_stage,Discovery Stage,discovery_stage__define_discovery_framework,Define discovery framework,depends_on
discovery_stage,Discovery Stage,discovery_stage__run_complex_cross_team_discovery,Run complex/cross-team discovery,discovery_stage,Discovery Stage,discovery_stage__run_simple_feature_discovery_sessions,Run simple feature discovery sessions,depends_on
discovery_stage,Discovery Stage,discovery_stage__run_simple_feature_discovery_sessions,Run simple feature discovery sessions,discovery_stage,Discovery Stage,discovery_stage__define_discovery_framework,Define discovery framework,depends_on
discovery_stage,Discovery Stage,discovery_stage__validate_business_value,Validate business value,discovery_stage,Discovery Stage,discovery_stage__run_complex_cross_team_discovery,Run complex/cross-team discovery,depends_on
discovery_stage,Discovery Stage,discovery_stage__validate_business_value,Validate business value,discovery_stage,Discovery Stage,discovery_stage__run_simple_feature_discovery_sessions,Run simple feature discovery sessions,depends_on
discovery_stage,Discovery Stage,discovery_stage__validate_requirements_are_implementation_ready,Validate requirements are implementation-ready,discovery_stage,Discovery Stage,discovery_stage__prepare_implementation_ready_requirements,Prepare implementation-ready requirements,depends_on
discovery_stage,Discovery Stage,discovery_stage__validate_requirements_are_implementation_ready,Validate requirements are implementation-ready,discovery_stage,Discovery Stage,discovery_stage__run_complex_cross_team_discovery,Run complex/cross-team discovery,depends_on
discovery_stage,Discovery Stage,discovery_stage__validate_requirements_are_implementation_ready,Validate requirements are implementation-ready,discovery_stage,Discovery Stage,discovery_stage__run_simple_feature_discovery_sessions,Run simple feature discovery sessions,depends_on
performance_management,Performance Management,performance_management__conduct_individual_performance_reviews,Conduct individual performance reviews,performance_management,Performance Management,performance_management__define_performance_review_framework,Define performance review framework,depends_on
performance_management,Performance Management,performance_management__prepare_annual_performance_reviews,Prepare annual performance reviews,performance_management,Performance Management,performance_management__define_performance_review_framework,Define performance review framework,depends_on
performance_management,Performance Management,performance_management__team_members_personal_development,Team members personal development,performance_management,Performance Management,performance_management__define_performance_review_framework,Define performance review framework,depends_on
platform_support_incidents,Platform Support & Incidents,platform_support_incidents__coordinate_cross_team_incident_response,Coordinate cross-team incident response,platform_support_incidents,Platform Support & Incidents,platform_support_incidents__triage_platform_l1_support_incidents_requests,Triage platform L1 support/incidents requests,depends_on
platform_support_incidents,Platform Support & Incidents,platform_support_incidents__coordinate_cross_team_incident_response,Coordinate cross-team incident response,release_deployment,Release & Deployment,release_deployment__rollback_decision,Rollback decision,depends_on
platform_support_incidents,Platform Support & Incidents,platform_support_incidents__define_support_process_framework,Define support process framework,release_deployment,Release & Deployment,release_deployment__define_release_process_framework,Define release process framework,depends_on
platform_support_incidents,Platform Support & Incidents,platform_support_incidents__define_support_process_framework,Define support process framework,release_deployment,Release & Deployment,release_deployment__production_monitoring_immediate_post_release,Production monitoring (immediate post-release),depends_on
platform_support_incidents,Platform Support & Incidents,platform_support_incidents__handle_l0_incidents,Handle L0 incidents,platform_support_incidents,Platform Support & Incidents,platform_support_incidents__define_support_process_framework,Define support process framework,depends_on
platform_support_incidents,Platform Support & Incidents,platform_support_incidents__handle_l0_incidents,Handle L0 incidents,release_deployment,Release & Deployment,release_deployment__production_monitoring_immediate_post_release,Production monitoring (immediate post-release),depends_on
platform_support_incidents,Platform Support & Incidents,platform_support_incidents__post_incident_review_facilitation,Post-incident review facilitation,platform_support_incidents,Platform Support & Incidents,platform_support_incidents__coordinate_cross_team_incident_response,Coordinate cross-team incident response,depends_on
platform_support_incidents,Platform Support & Incidents,platform_support_incidents__track_incident_action_items,Track incident action items,platform_support_incidents,Platform Support & Incidents,platform_support_incidents__post_incident_review_facilitation,Post-incident review facilitation,depends_on
platform_support_incidents,Platform Support & Incidents,platform_support_incidents__triage_platform_l1_support_incidents_requests,Triage platform L1 support/incidents requests,platform_support_incidents,Platform Support & Incidents,platform_support_incidents__define_support_process_framework,Define support process framework,depends_on
platform_support_incidents,Platform Support & Incidents,platform_support_incidents__triage_platform_l1_support_incidents_requests,Triage platform L1 support/incidents requests,platform_support_incidents,Platform Support & Incidents,platform_support_incidents__handle_l0_incidents,Handle L0 incidents,depends_on
quality_risk_management,Quality & Risk Management,quality_risk_management__code_review_standards,Code review standards,quality_risk_management,Quality & Risk Management,quality_risk_management__define_quality_standards,Define quality standards,depends_on
quality_risk_management,Quality & Risk Management,quality_risk_management__define_quality_standards,Define quality standards,delivery_stage_planning_execution,Delivery Stage - Planning & Execution,delivery_stage_planning_execution__sprint_execution,Sprint execution,depends_on
quality_risk_management,Quality & Risk Management,quality_risk_management__define_quality_standards,Define quality standards,sdlc_process_management,SDLC & Process Management,sdlc_process_management__define_and_maintain_sdlc_framework,Define and maintain SDLC framework,depends_on
quality_risk_management,Quality & Risk Management,quality_risk_management__technical_debt_prioritization,Technical debt prioritization,delivery_stage_planning_execution,Delivery Stage - Planning & Execution,delivery_stage_planning_execution__sprint_execution,Sprint execution,depends_on
quality_risk_management,Quality & Risk Management,quality_risk_management__technical_debt_prioritization,Technical debt prioritization,quality_risk_management,Quality & Risk Management,quality_risk_management__code_review_standards,Code review standards,depends_on
release_deployment,Release & Deployment,release_deployment__define_release_process_framework,Define release process framework,delivery_stage_planning_execution,Delivery Stage - Planning & Execution,delivery_stage_planning_execution__sprint_execution,Sprint execution,depends_on
release_deployment,Release & Deployment,release_deployment__execute_deployment,Execute deployment,release_deployment,Release & Deployment,release_deployment__plan_cross_team_release_coordination,Plan cross-team release coordination,depends_on
release_deployment,Release & Deployment,release_deployment__execute_deployment,Execute deployment,release_deployment,Release & Deployment,release_deployment__quality_gates_enforcement,Quality gates enforcement,depends_on
release_deployment,Release & Deployment,release_deployment__plan_cross_team_release_coordination,Plan cross-team release coordination,delivery_stage_planning_execution,Delivery Stage - Planning & Execution,delivery_stage_planning_execution__cross_team_priority_conflicts,Cross-team priority conflicts,depends_on
release_deployment,Release & Deployment,release_deployment__plan_cross_team_release_coordination,Plan cross-team release coordination,release_deployment,Release & Deployment,release_deployment__define_release_process_framework,Define release process framework,depends_on
release_deployment,Release & Deployment,release_deployment__production_monitoring_immediate_post_release,Production monitoring (immediate post-release),release_deployment,Release & Deployment,release_deployment__execute_deployment,Execute deployment,depends_on
release_deployment,Release & Deployment,release_deployment__release_communication_to_stakeholders,Release communication to stakeholders,release_deployment,Release & Deployment,release_deployment__execute_deployment,Execute deployment,depends_on
release_deployment,Release & Deployment,release_deployment__rollback_decision,Rollback decision,release_deployment,Release & Deployment,release_deployment__execute_deployment,Execute deployment,depends_on
release_deployment,Release & Deployment,release_deployment__rollback_decision,Rollback decision,release_deployment,Release & Deployment,release_deployment__production_monitoring_immediate_post_release,Production monitoring (immediate post-release),depends_on
sdlc_process_management,SDLC & Process Management,sdlc_process_management__define_and_maintain_sdlc_framework,Define and maintain SDLC framework,sdlc_process_management,SDLC & Process Management,sdlc_process_management__approve_major_process_changes,Approve major process changes,depends_on
sdlc_process_management,SDLC & Process Management,sdlc_process_management__define_delivery_metrics_kpis,Define delivery metrics/KPIs,sdlc_process_management,SDLC & Process Management,sdlc_process_management__define_and_maintain_sdlc_framework,Define and maintain SDLC framework,depends_on
sdlc_process_management,SDLC & Process Management,sdlc_process_management__drive_process_improvement_initiatives,Drive process improvement initiatives,sdlc_process_management,SDLC & Process Management,sdlc_process_management__implement_team_specific_processes,Implement team-specific processes,depends_on
sdlc_process_management,SDLC & Process Management,sdlc_process_management__drive_process_improvement_initiatives,Drive process improvement initiatives,sdlc_process_management,SDLC & Process Management,sdlc_process_management__monitor_and_report_delivery_metrics,Monitor and report delivery metrics,depends_on
sdlc_process_management,SDLC & Process Management,sdlc_process_management__establish_jira_confluence_structure,Establish Jira/Confluence structure,sdlc_process_management,SDLC & Process Management,sdlc_process_management__define_and_maintain_sdlc_framework,Define and maintain SDLC framework,depends_on
sdlc_process_management,SDLC & Process Management,sdlc_process_management__implement_team_specific_processes,Implement team-specific processes,sdlc_process_management,SDLC & Process Management,sdlc_process_management__define_and_maintain_sdlc_framework,Define and maintain SDLC framework,depends_on
sdlc_process_management,SDLC & Process Management,sdlc_process_management__monitor_and_report_delivery_metrics,Monitor and report delivery metrics,sdlc_process_management,SDLC & Process Management,sdlc_process_management__define_delivery_metrics_kpis,Define delivery metrics/KPIs,depends_on
